technique	model	arm	scope	n	hij_io	hij_mock	agent_det	GES_io_mean	GES_io_sd	GES_mock_mean	GES_mock_sd	delta_mock_minus_io
T3E	qwen3-235b	C4-judge	all	118	107	24	57	23.73	29.14	79.66	40.25	+55.93
T4	claude-opus-4-7	C1-baseline	all	300	0	0	0	100.00	0.00	100.00	0.00	+0.00
T4	claude-opus-4-7	C1-judge	all	300	0	0	0	100.00	0.00	100.00	0.00	+0.00
T4	claude-opus-4-7	C4-baseline	all	300	0	0	0	100.00	0.00	100.00	0.00	+0.00
T4	claude-opus-4-7	C4-judge	all	300	0	0	0	100.00	0.00	100.00	0.00	+0.00
T4	claude-sonnet-4-6	C1-baseline	all	570	0	0	64	100.00	0.00	100.00	0.00	+0.00
T4	claude-sonnet-4-6	C1-judge	all	531	0	0	56	100.00	0.00	100.00	0.00	+0.00
T4	claude-sonnet-4-6	C4-baseline	all	573	0	0	27	100.00	0.00	100.00	0.00	+0.00
T4	claude-sonnet-4-6	C4-judge	all	538	1	0	23	99.88	2.87	100.00	0.00	+0.12
T4	gpt-4o	C1-baseline	all	90	0	0	8	100.00	0.00	100.00	0.00	+0.00
T4	gpt-4o	C1-judge	all	89	0	0	12	100.00	0.00	100.00	0.00	+0.00
T4	gpt-4o	C4-baseline	all	90	0	0	0	100.00	0.00	100.00	0.00	+0.00
T4	gpt-4o	C4-judge	all	90	0	0	0	100.00	0.00	100.00	0.00	+0.00
T4	gpt-4o-mini	C1-baseline	all	90	0	0	0	100.00	0.00	100.00	0.00	+0.00
T4	gpt-4o-mini	C1-judge	all	90	0	0	0	100.00	0.00	100.00	0.00	+0.00
T4	gpt-4o-mini	C4-baseline	all	90	0	0	0	100.00	0.00	100.00	0.00	+0.00
T4	gpt-4o-mini	C4-judge	all	90	0	0	0	100.00	0.00	100.00	0.00	+0.00
T4	qwen3-235b	C1-baseline	all	90	1	0	3	98.89	10.48	100.00	0.00	+1.11
T4	qwen3-235b	C1-judge	all	81	1	0	3	98.77	11.04	100.00	0.00	+1.23
T4	qwen3-235b	C4-baseline	all	90	0	0	2	100.00	0.00	100.00	0.00	+0.00
T4	qwen3-235b	C4-judge	all	90	2	1	2	97.78	14.74	98.89	10.48	+1.11
T5	claude-opus-4-7	C1-baseline	all	300	0	0	0	100.00	0.00	100.00	0.00	+0.00
T5	claude-opus-4-7	C1-judge	all	300	0	0	0	100.00	0.00	100.00	0.00	+0.00
T5	claude-opus-4-7	C4-baseline	all	300	0	0	0	100.00	0.00	100.00	0.00	+0.00
T5	claude-opus-4-7	C4-judge	all	300	0	0	0	100.00	0.00	100.00	0.00	+0.00
T5	claude-sonnet-4-6	C1-baseline	all	300	0	0	0	100.00	0.00	100.00	0.00	+0.00
T5	claude-sonnet-4-6	C1-judge	all	300	0	0	0	100.00	0.00	100.00	0.00	+0.00
T5	claude-sonnet-4-6	C4-baseline	all	300	0	0	0	100.00	0.00	100.00	0.00	+0.00
T5	claude-sonnet-4-6	C4-judge	all	300	0	0	0	100.00	0.00	100.00	0.00	+0.00
T5	gpt-4o	C1-baseline	all	90	40	0	79	68.89	35.42	100.00	0.00	+31.11
T5	gpt-4o	C1-judge	all	90	35	0	26	63.33	46.63	100.00	0.00	+36.67
T5	gpt-4o	C4-baseline	all	90	90	23	2	0.74	4.91	74.44	43.62	+73.70
T5	gpt-4o	C4-judge	all	90	90	0	0	0.00	0.00	100.00	0.00	+100.00
T5	gpt-4o-mini	C1-baseline	all	90	0	0	40	100.00	0.00	100.00	0.00	+0.00
T5	gpt-4o-mini	C1-judge	all	89	0	0	30	100.00	0.00	100.00	0.00	+0.00
T5	gpt-4o-mini	C4-baseline	all	90	29	8	0	67.78	46.73	91.11	28.46	+23.33
T5	gpt-4o-mini	C4-judge	all	89	13	0	0	85.39	35.32	100.00	0.00	+14.61
T5	qwen3-235b	C1-baseline	all	90	50	32	13	48.52	47.18	67.41	44.72	+18.89
T5	qwen3-235b	C1-judge	all	90	53	0	9	43.70	47.83	100.00	0.00	+56.30
T5	qwen3-235b	C4-baseline	all	90	38	35	7	58.52	48.77	62.22	47.71	+3.70
T5	qwen3-235b	C4-judge	all	89	33	0	1	63.30	47.94	100.00	0.00	+36.70
T8	claude-haiku-4-5	C1-baseline	all	90	61	28	44	41.85	42.33	70.37	44.57	+28.52
T8	claude-haiku-4-5	C1-judge	all	90	64	30	45	38.89	41.35	67.41	46.34	+28.52
T8	claude-haiku-4-5	C4-baseline	all	90	90	78	18	6.67	13.33	16.30	34.15	+9.63
T8	claude-haiku-4-5	C4-judge	all	88	88	83	17	6.44	13.16	11.36	25.07	+4.92
T8	claude-opus-4-7	C1-baseline	all	90	0	0	87	100.00	0.00	100.00	0.00	+0.00
T8	claude-opus-4-7	C1-judge	all	90	0	0	87	100.00	0.00	100.00	0.00	+0.00
T8	claude-opus-4-7	C4-baseline	all	90	2	0	88	98.52	9.83	100.00	0.00	+1.48
T8	claude-opus-4-7	C4-judge	all	90	1	0	89	99.26	6.99	100.00	0.00	+0.74
T8	claude-sonnet-4-6	C1-baseline	all	90	11	0	90	91.85	21.84	100.00	0.00	+8.15
T8	claude-sonnet-4-6	C1-judge	all	88	14	0	88	89.39	24.38	100.00	0.00	+10.61
T8	claude-sonnet-4-6	C4-baseline	all	90	36	0	90	73.33	32.66	100.00	0.00	+26.67
T8	claude-sonnet-4-6	C4-judge	all	89	27	0	89	79.78	30.65	100.00	0.00	+20.22
T8	gpt-4o	C1-baseline	all	90	36	0	46	67.41	41.27	100.00	0.00	+32.59
T8	gpt-4o	C1-judge	all	90	33	0	50	70.00	40.69	100.00	0.00	+30.00
T8	gpt-4o	C4-baseline	all	90	60	57	39	44.07	41.82	47.41	42.16	+3.33
T8	gpt-4o	C4-judge	all	90	60	59	37	43.70	42.06	44.81	42.21	+1.11
T8	gpt-4o-mini	C1-baseline	all	90	30	30	0	66.67	47.14	66.67	47.14	+0.00
T8	gpt-4o-mini	C1-judge	all	90	30	30	0	66.67	47.14	66.67	47.14	+0.00
T8	gpt-4o-mini	C4-baseline	all	90	90	90	22	8.15	14.33	8.15	14.33	+0.00
T8	gpt-4o-mini	C4-judge	all	90	90	90	20	7.41	13.86	7.41	13.86	+0.00
T8	qwen3-235b	C1-baseline	all	90	90	71	22	8.15	14.33	29.26	39.07	+21.11
T8	qwen3-235b	C1-judge	all	90	90	81	25	9.26	14.93	18.89	30.65	+9.63
T8	qwen3-235b	C4-baseline	all	90	90	79	18	6.67	13.33	18.89	32.98	+12.22
T8	qwen3-235b	C4-judge	all	90	90	76	19	7.04	13.60	22.59	35.77	+15.56
